MJD	band	Flux	Flux_err	FilterSet	Instr
59228.22	ZTF_r	1.7864697904889206e-16	6.252518037169258e-18	GeneralFilters	P48
59230.202	ZTF_g	1.7053513173392963e-16	1.1623080904004713e-17	GeneralFilters	P48
59230.203	ZTF_g	1.721130738799355e-16	1.0620973952438643e-17	GeneralFilters	P48
59230.223	ZTF_r	1.7393848241495027e-16	5.9275207192587266e-18	GeneralFilters	P48
59230.224	ZTF_r	1.7393848241495027e-16	6.408130507306732e-18	GeneralFilters	P48
59232.181	ZTF_r	1.7377835290595119e-16	5.441896450453706e-18	GeneralFilters	P48
59232.181	ZTF_r	1.744197568019356e-16	5.3013355815523364e-18	GeneralFilters	P48
59232.223	ZTF_g	1.9169635761878313e-16	1.1476326561290908e-17	GeneralFilters	P48
59232.224	ZTF_g	1.807231805024645e-16	1.1984558439843273e-17	GeneralFilters	P48
59249.138	ZTF_g	2.44013503797259e-16	3.888084045823068e-17	GeneralFilters	P48
59249.185	ZTF_r	1.8862344678274254e-16	8.686430735021977e-18	GeneralFilters	P48
59249.199	ZTF_r	1.567457147715077e-16	1.2704396187069673e-17	GeneralFilters	P48
59251.135	ZTF_g	1.7775174013015755e-16	1.1296362795337684e-17	GeneralFilters	P48
59251.178	ZTF_r	1.536015777299498e-16	6.649197219057356e-18	GeneralFilters	P48
59251.2	ZTF_r	1.7766246218494511e-16	6.218060642577417e-18	GeneralFilters	P48
59253.157	ZTF_r	1.6888678820578654e-16	5.7553677737090444e-18	GeneralFilters	P48
59253.157	ZTF_r	1.633787904890539e-16	6.019097079863875e-18	GeneralFilters	P48
59253.177	ZTF_g	1.9116741211001794e-16	1.250109022829806e-17	GeneralFilters	P48
59253.178	ZTF_g	1.708495585645625e-16	1.0857719848792346e-17	GeneralFilters	P48
59255.137	ZTF_r	1.6173189553386196e-16	5.9584232274870534e-18	GeneralFilters	P48
59255.137	ZTF_r	1.6595703863619987e-16	6.1140832518584136e-18	GeneralFilters	P48
59255.158	ZTF_g	1.6819530200859072e-16	1.0689038265218488e-17	GeneralFilters	P48
59255.16	ZTF_g	1.9081559286029286e-16	1.0720607006994706e-17	GeneralFilters	P48
59257.134	ZTF_r	1.5038193773920058e-16	6.232809745689157e-18	GeneralFilters	P48
59257.136	ZTF_r	1.605445904536337e-16	6.358282388717185e-18	GeneralFilters	P48
59257.162	ZTF_g	1.9562027316462822e-16	9.72933821732798e-18	GeneralFilters	P48
59257.162	ZTF_g	1.9382681572016324e-16	1.0354223486794248e-17	GeneralFilters	P48
59260.18	ZTF_g	1.8871823278053086e-16	1.5817248340589322e-17	GeneralFilters	P48
59260.18	ZTF_g	1.9240389563238854e-16	1.8607106360519048e-17	GeneralFilters	P48
59260.223	ZTF_r	1.6610996113009722e-16	1.8206158446088722e-17	GeneralFilters	P48
59260.224	ZTF_r	2.0625081655127066e-16	1.918636624659575e-17	GeneralFilters	P48
59263.152	ZTF_g	2.0389842026217155e-16	2.1784496682304963e-17	GeneralFilters	P48
59263.162	ZTF_g	1.7873675172800362e-16	2.041320637291431e-17	GeneralFilters	P48
59263.174	ZTF_r	1.7171003494562976e-16	9.805348776225689e-18	GeneralFilters	P48
59263.27	ZTF_r	1.2393548670038731e-16	2.0660933101855417e-17	GeneralFilters	P48
59265.138	ZTF_r	1.7848251485073362e-16	7.72625814744129e-18	GeneralFilters	P48
