MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
59014.15000000932	1.924558080790971e-16	7.480821915744912e-18	2.5959509884131707e-16	2.9090681344672524e-17	2.0439362189887193e-16	5.407278431506019e-18	3.081373274105533e-16	3.700600894479485e-18	2.908247149831219e-16	1.4447891675498125e-17	3.355447040932932e-16	2.6775094614088416e-17
59014.200000009325	1.922247007067001e-16	7.372449708209284e-18	2.58929268762196e-16	2.8889041044303403e-17	2.0353323510053553e-16	5.271901035570457e-18	3.081293282407564e-16	3.6632537633285325e-18	2.90252676600241e-16	1.431934788585371e-17	3.353808988126368e-16	2.6909796319942126e-17
59014.25000000933	1.919725723643933e-16	7.357438321068585e-18	2.582674994182816e-16	2.8677840685216587e-17	2.0266014455262968e-16	5.1521468129027644e-18	3.081076944407162e-16	3.656074326010696e-18	2.896758183535707e-16	1.4181962032819286e-17	3.3521709272525364e-16	2.7043390566129632e-17
59014.30000000933	1.9169994045563691e-16	7.430365403055664e-18	2.576100071329204e-16	2.8457155838006267e-17	2.017743258623762e-16	5.0485482618486e-18	3.080721798842791e-16	3.681057667142698e-18	2.89094409707861e-16	1.4035754225041396e-17	3.3505329105251463e-16	2.7175872849023615e-17
59014.35000000933	1.9140748014922919e-16	7.581373260463966e-18	2.5695700825789923e-16	2.8227066065606466e-17	2.0087631132555096e-16	4.960883319632595e-18	3.0802275020095755e-16	3.738135183908389e-18	2.88508720098465e-16	1.3880750017985025e-17	3.3488949901577276e-16	2.7307238724334067e-17
59014.40000000934	1.9109586613881343e-16	7.79879892171884e-18	2.563087191750938e-16	2.79876550338143e-17	1.999670617648047e-16	4.8883116413953765e-18	3.0795953401660404e-16	3.8254828391885066e-18	2.879190189327905e-16	1.3716980827581757e-17	3.3472572183613065e-16	2.743748380658237e-17
59014.45000000934	1.9076577265822197e-16	8.070403955400244e-18	2.5566535629813745e-16	2.77390106319445e-17	1.9904754896610598e-16	4.829854633988324e-18	3.0788266409371606e-16	3.9406248123347174e-18	2.8732557559219836e-16	1.3544484409546734e-17	3.345619647344945e-16	2.7566603768603188e-17
59014.50000000934	1.9041787349685506e-16	8.38435255141309e-18	2.550271360739799e-16	2.7481225104491095e-17	1.9811874465939797e-16	4.784430380356558e-18	3.077922731377036e-16	4.080701547957545e-18	2.867286594332003e-16	1.3363305416021993e-17	3.3439823293175254e-16	2.7694594341014512e-17
59014.550000009345	1.90052842015006e-16	8.729831173611847e-18	2.5439427498462263e-16	2.7214395195009408e-17	1.9718162052361033e-16	4.750880340128917e-18	3.0768849379734477e-16	4.242700823710472e-18	2.8612853978947156e-16	1.3173496043168797e-17	3.342345316485784e-16	2.7821451311746706e-17
59014.60000000935	1.896713511592125e-16	9.09734038732458e-18	2.537669895486737e-16	2.6938622303534107e-17	1.9623714819177383e-16	4.727998141683847e-18	3.0757145866540484e-16	4.423643395016421e-18	2.8552548597309e-16	1.2975116786544849e-17	3.3407086610548504e-16	2.7947170525586135e-17
